Place_ID X Date,target
0OS9LVX X 2020-01-02,42.32
0OS9LVX X 2020-01-03,37.641
0OS9LVX X 2020-01-04,34.351
0OS9LVX X 2020-01-05,40.382
0OS9LVX X 2020-01-06,35.952
0OS9LVX X 2020-01-07,34.953
0OS9LVX X 2020-01-08,40.652
0OS9LVX X 2020-01-09,40.6
0OS9LVX X 2020-01-10,40.88
0OS9LVX X 2020-01-11,48.321000000000005
0OS9LVX X 2020-01-12,42.23
0OS9LVX X 2020-01-13,50.05
0OS9LVX X 2020-01-14,41.708
0OS9LVX X 2020-01-15,59.31
0OS9LVX X 2020-01-16,55.371
0OS9LVX X 2020-01-17,53.06
0OS9LVX X 2020-01-18,43.54
0OS9LVX X 2020-01-19,36.761
0OS9LVX X 2020-01-20,42.05
0OS9LVX X 2020-01-21,36.64
0OS9LVX X 2020-01-22,38.791
0OS9LVX X 2020-01-23,32.732
0OS9LVX X 2020-01-24,22.401999999999997
0OS9LVX X 2020-01-25,30.859
0OS9LVX X 2020-01-26,33.768
0OS9LVX X 2020-01-27,37.47
0OS9LVX X 2020-01-28,31.521
0OS9LVX X 2020-01-29,34.318000000000005
0OS9LVX X 2020-01-30,38.07
0OS9LVX X 2020-01-31,42.42
0OS9LVX X 2020-02-01,41.2
0OS9LVX X 2020-02-02,43.53
0OS9LVX X 2020-02-03,42.87
0OS9LVX X 2020-02-04,42.84
0OS9LVX X 2020-02-05,41.22
0OS9LVX X 2020-02-06,37.48
0OS9LVX X 2020-02-07,37.013999999999996
0OS9LVX X 2020-02-08,40.913000000000004
0OS9LVX X 2020-02-09,40.16
0OS9LVX X 2020-02-10,39.35
0OS9LVX X 2020-02-11,44.0
0OS9LVX X 2020-02-12,40.341
0OS9LVX X 2020-02-13,40.442
0OS9LVX X 2020-02-14,40.87
0OS9LVX X 2020-02-15,36.92
0OS9LVX X 2020-02-16,39.24
0OS9LVX X 2020-02-17,38.73
0OS9LVX X 2020-02-18,37.08
0OS9LVX X 2020-02-19,38.23500000000001
0OS9LVX X 2020-02-20,38.89
0OS9LVX X 2020-02-21,40.021
0OS9LVX X 2020-02-22,42.97
0OS9LVX X 2020-02-23,31.395
0OS9LVX X 2020-02-24,30.017999999999997
0OS9LVX X 2020-02-25,33.93
0OS9LVX X 2020-02-26,37.312
0OS9LVX X 2020-02-27,40.3
0OS9LVX X 2020-02-28,37.29
0OS9LVX X 2020-02-29,35.56
0OS9LVX X 2020-03-01,37.52
0OS9LVX X 2020-03-02,35.21
0OS9LVX X 2020-03-03,37.88
0OS9LVX X 2020-03-04,49.46
0OS9LVX X 2020-03-05,45.992
0OS9LVX X 2020-03-06,41.5
0OS9LVX X 2020-03-07,42.146
0OS9LVX X 2020-03-08,43.402
0OS9LVX X 2020-03-09,32.741
0OS9LVX X 2020-03-10,30.388
0OS9LVX X 2020-03-11,35.003
0OS9LVX X 2020-03-12,38.4
0OS9LVX X 2020-03-13,36.539
0OS9LVX X 2020-03-14,43.68
0OS9LVX X 2020-03-15,38.39
0OS9LVX X 2020-03-16,39.33
0OS9LVX X 2020-03-17,33.172
0OS9LVX X 2020-03-18,43.83
0OS9LVX X 2020-03-19,34.711999999999996
0OS9LVX X 2020-03-20,34.0
0OS9LVX X 2020-03-21,30.336
0OS9LVX X 2020-03-22,32.861999999999995
0OS9LVX X 2020-03-23,43.89
0OS9LVX X 2020-03-24,51.33
0OS9LVX X 2020-03-25,47.64
0OS9LVX X 2020-03-26,42.93
0OS9LVX X 2020-03-27,35.48
0OS9LVX X 2020-03-28,43.4
0OS9LVX X 2020-03-29,45.04
0OS9LVX X 2020-03-30,53.20799999999999
0OS9LVX X 2020-03-31,53.29
0OS9LVX X 2020-04-01,51.5
0OS9LVX X 2020-04-02,39.12
0OS9LVX X 2020-04-03,46.635
0OS9LVX X 2020-04-04,99.02
0Q2LTOG X 2020-01-02,133.7
0Q2LTOG X 2020-01-03,125.37
0Q2LTOG X 2020-01-04,140.73
0Q2LTOG X 2020-01-05,101.73
0Q2LTOG X 2020-01-06,55.44
0Q2LTOG X 2020-01-07,50.4
0Q2LTOG X 2020-01-08,37.23
0Q2LTOG X 2020-01-09,118.56
0Q2LTOG X 2020-01-10,118.87
0Q2LTOG X 2020-01-11,152.42
0Q2LTOG X 2020-01-12,84.82
0Q2LTOG X 2020-01-13,61.02
0Q2LTOG X 2020-01-14,122.52
0Q2LTOG X 2020-01-15,108.38
0Q2LTOG X 2020-01-16,96.03399999999999
0Q2LTOG X 2020-01-17,146.74
0Q2LTOG X 2020-01-18,112.54
0Q2LTOG X 2020-01-19,133.98
0Q2LTOG X 2020-01-20,119.04
0Q2LTOG X 2020-01-21,103.09
0Q2LTOG X 2020-01-22,149.6
0Q2LTOG X 2020-01-23,114.79
0Q2LTOG X 2020-01-24,86.9
0Q2LTOG X 2020-01-25,75.58
0Q2LTOG X 2020-01-26,116.37
0Q2LTOG X 2020-01-27,41.09
0Q2LTOG X 2020-01-28,72.66799999999999
0Q2LTOG X 2020-01-29,82.321
0Q2LTOG X 2020-01-30,96.02
0Q2LTOG X 2020-01-31,124.08
0Q2LTOG X 2020-02-01,109.92
0Q2LTOG X 2020-02-02,109.59
0Q2LTOG X 2020-02-03,81.58
0Q2LTOG X 2020-02-04,102.86
0Q2LTOG X 2020-02-05,55.54
0Q2LTOG X 2020-02-06,91.61
0Q2LTOG X 2020-02-07,99.49
0Q2LTOG X 2020-02-08,88.94
0Q2LTOG X 2020-02-09,78.21
0Q2LTOG X 2020-02-10,114.25
0Q2LTOG X 2020-02-11,113.78
0Q2LTOG X 2020-02-12,40.61
0Q2LTOG X 2020-02-13,117.52
0Q2LTOG X 2020-02-14,109.4
0Q2LTOG X 2020-02-15,46.55
0Q2LTOG X 2020-02-16,41.2
0Q2LTOG X 2020-02-17,32.23
0Q2LTOG X 2020-02-18,70.93
0Q2LTOG X 2020-02-19,162.89
0Q2LTOG X 2020-02-20,100.16
0Q2LTOG X 2020-02-21,129.0
0Q2LTOG X 2020-02-22,79.31
0Q2LTOG X 2020-02-23,83.74
0Q2LTOG X 2020-02-24,71.134
0Q2LTOG X 2020-02-25,56.22
0Q2LTOG X 2020-02-26,95.1
0Q2LTOG X 2020-02-27,87.02
0Q2LTOG X 2020-02-28,83.74
0Q2LTOG X 2020-02-29,84.25
0Q2LTOG X 2020-03-01,86.86
0Q2LTOG X 2020-03-02,74.43
0Q2LTOG X 2020-03-03,106.15
0Q2LTOG X 2020-03-04,68.19
0Q2LTOG X 2020-03-05,84.85
0Q2LTOG X 2020-03-06,85.49
0Q2LTOG X 2020-03-07,140.98
0Q2LTOG X 2020-03-08,103.19
0Q2LTOG X 2020-03-09,172.56
0Q2LTOG X 2020-03-10,47.89
0Q2LTOG X 2020-03-11,59.37
0Q2LTOG X 2020-03-12,81.52
0Q2LTOG X 2020-03-13,39.39
0Q2LTOG X 2020-03-14,86.15
0Q2LTOG X 2020-03-15,42.72
0Q2LTOG X 2020-03-16,80.05
0Q2LTOG X 2020-03-17,92.85
0Q2LTOG X 2020-03-18,88.91
0Q2LTOG X 2020-03-19,60.83
0Q2LTOG X 2020-03-20,89.76
0Q2LTOG X 2020-03-21,113.76
0Q2LTOG X 2020-03-22,65.31
0Q2LTOG X 2020-03-23,92.61
0Q2LTOG X 2020-03-24,94.66
0Q2LTOG X 2020-03-25,125.4
0Q2LTOG X 2020-03-26,74.9
0Q2LTOG X 2020-03-27,63.34
0Q2LTOG X 2020-03-28,58.88
0Q2LTOG X 2020-03-29,65.05
0Q2LTOG X 2020-03-30,79.33
0Q2LTOG X 2020-03-31,72.78
0Q2LTOG X 2020-04-01,70.11
